Age_range,Industry,Job _title,Annual_salary,Additional_monetary_compensation,Annual_salary_USD,Additional_m_c_USD,Currency,Country,State,City,y_o_p_e_Overall,yo_p_e_in_Field,Highest_level_of_education,Gender
25-34,Computing or Tech,Developer,100000,3000,100000,3000,USD,USA,Michigan,Detroit,8 - 10 years,8 - 10 years,College degree,Man
35-44,Nonprofits,Prospect research analyst,50000,1000,50000,1000,USD,USA,Oregon,CORVALLIS ,11 - 20 years,2 - 4 years,Master's degree,Woman
18-24,Entertainment,Music Copyist,48000,0,48000,0,USD,USA,"California, New York",Los Angeles ,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),Communications associate ,68000,0,68000,0,USD,USA,Maryland,Baltimore ,8 - 10 years,8 - 10 years,Master's degree,Woman
55-64,Entertainment,Co-Executive Producer,200000,50000,144000,36000,CAD,USA,California,Los Angeles,31 - 40 years,31 - 40 years,College degree,Woman
45-54,Education (Primary/Secondary),Teacher ,58000,0,58000,0,USD,USA,Texas,Austin,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Government and Public Administration,Utility Director ,72000,4000,72000,4000,USD,USA,Indiana,Clarksville ,11 - 20 years,5-7 years,Master's degree,Woman
25-34,Education (Higher Education),Statistical Program Manager ,114000,0,114000,0,USD,USA,New York,NYC,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Computing or Tech,Engineering Manager,223000,179600,223000,179600,USD,USA,New York,New York,11 - 20 years,5-7 years,Master's degree,Man
35-44,Engineering or Manufacturing,Program Manager,175000,10000,175000,10000,USD,USA,Maryland,Baltimore,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,"Leisure, Sport & Tourism",Wildlife Care Specialist,62000,1000,62000,1000,USD,USA,California,San Diego,11 - 20 years,11 - 20 years,College degree,Woman
55-64,Nonprofits,Finance Manager,112800,0,112800,0,USD,USA,North Carolina,Durham,21 - 30 years,11 - 20 years,Master's degree,Woman
35-44,Museums,Director of Interpretation,75000,0,75000,0,USD,USA,Maryland,Baltimore,11 - 20 years,8 - 10 years,PhD,Woman
25-34,Government and Public Administration,Research scientist ,76000,0,76000,0,USD,USA,District of Columbia,Bethesda MD,8 - 10 years,5-7 years,PhD,Woman
55-64,Utilities & Telecommunications,Accounts Payable Supervisor,90000,0,90000,0,USD,USA,Florida,Tampa,31 - 40 years,21 - 30 years,College degree,Woman
25-34,Computing or Tech,Customer Success Manager II,135000,33750,135000,33750,USD,USA,New York,New York,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Nonprofits,Homelessness Prevention Case Manager,50920,0,50920,0,USD,USA,California,San Jose,2 - 4 years,1 year or less,Some college,Non-binary
25-34,Education (Primary/Secondary),Online high school teacher,30000,0,30000,0,USD,USA,Virginia,Lynchburg ,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Health care,Biosafety officer/Medical Lab Scientist,112000,3000,112000,3000,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Computing or Tech,Security Engineer 2,72800,9000,72800,9000,USD,USA,Georgia,Alpharetta,8 - 10 years,8 - 10 years,Some college,Man
25-34,Education (Higher Education),Research & Instruction Librarian,54000,0,54000,0,USD,USA,Maryland,Baltimore,2 - 4 years,2 - 4 years,Master's degree,Woman
45-54,Education (Higher Education),"Associate Director, external communications (press relations, pr, etc.)",114000,0,114000,0,USD,USA,New York,Brooklyn,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Computing or Tech,Test Engineer,100000,15000,100000,15000,USD,USA,Oregon,Portland,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Nonprofits,HR Associate,76000,12000,76000,12000,USD,USA,District of Columbia,DC,2 - 4 years,2 - 4 years,College degree,Woman
45-54,"Marketing, Advertising & PR",Strategic Planning Director,198000,0,198000,0,USD,USA,California,Los Angeles,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Biotech/Pharma,Case Manager,81000,15000,81000,15000,USD,USA,Massachusetts,Cambridge,11 - 20 years,5-7 years,Master's degree,Man
35-44,"Accounting, Banking & Finance",Head of Product,200000,60000,200000,60000,USD,USA,Pennsylvania,Malvern,11 - 20 years,5-7 years,Master's degree,Woman
45-54,Sales,"Director of Sales, US",115000,15000,115000,15000,USD,USA,Illinois,Chicago,21 - 30 years,11 - 20 years,Master's degree,Woman
35-44,Business or Consulting,Manager,104164,10000,104164,10000,USD,USA,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Computing or Tech,Senior process development engineer,97000,5000,97000,5000,USD,USA,Massachusetts,Cambridge,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Education (Higher Education),Manager,81000,0,81000,0,USD,USA,Massachusetts,Boston,8 - 10 years,5-7 years,Master's degree,Woman
45-54,Engineering or Manufacturing,Project Controller,95000,0,95000,0,USD,USA,New York,New York,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Health care,Digital Marketing Analyst,87000,0,87000,0,USD,USA,Connecticut,Hartford,8 - 10 years,5-7 years,College degree,Woman
25-34,Retail,Senior Demand Manager,70000,2000,70000,2000,USD,USA,Louisiana,New Orleans,11 - 20 years,8 - 10 years,College degree,Woman
35-44,Nonprofits,Executive Director,100000,0,100000,0,USD,USA,Maryland,Baltimore,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Nonprofits,Program Manager,66560,1000,66560,1000,USD,USA,New Hampshire,Laconia,8 - 10 years,8 - 10 years,College degree,Man
35-44,Health care,Unit Specialist (secretary),45000,1300,45000,1300,USD,USA,Oregon,Portland ,21 - 30 years,41 years or more,Some college,Woman
25-34,Education (Higher Education),Associate Director - Financial Operations ,91000,0,91000,0,USD,USA,New Jersey,New Brunswick ,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Computing or Tech,Senior Director,136000,0,136000,0,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,Some college,Non-binary
35-44,Sales,Account Executive ,50000,200000,50000,200000,USD,USA,Arizona,Phoenix,21 - 30 years,21 - 30 years,Some college,Woman
35-44,Education (Higher Education),Director,72000,0,72000,0,USD,USA,Texas,Denton,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Pharma,Talent Development Manager,122000,26000,122000,26000,USD,USA,Indiana,Indianapolis,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man
35-44,Education (Higher Education),Assistant Professor,118000,20000,118000,20000,USD,USA,Illinois,Evanston,5-7 years,5-7 years,PhD,Woman
45-54,Computing or Tech,Software Engineer,130000,15000,130000,15000,USD,USA,California,Los Angeles area,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Computing or Tech,senior software engineer,151000,18000,151000,18000,USD,USA,Washington,Redmond,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Retail,Merchandising,27000,200,27000,200,USD,USA,Florida,Deerfield Beach,21 - 30 years,11 - 20 years,High School,Man
45-54,Health care,Certified Coder ,41600,3000,41600,3000,USD,USA,Missouri,Springfield ,21 - 30 years,8 - 10 years,Some college,Woman
35-44,Nonprofits,Deputy Director,70000,0,70000,0,USD,Usa,Alaska,Juneau,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Engineering or Manufacturing,Principal systems engineer,160000,0,160000,0,USD,Usa,Colorado,Boulder,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Entertainment,Gameplay engineer,110000,5000,110000,5000,USD,USA,California,Los Angeles,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Health care,Instructor,90000,0,90000,0,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,PhD,Woman
25-34,Engineering or Manufacturing,UX Researcher 2,90000,0,90000,0,USD,USA,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Animal Care,Animal keeper,32000,0,32000,0,USD,USA,Michigan,Augusta ,21 - 30 years,11 - 20 years,College degree,Woman
45-54,Retail,Import Sourcing Manager-Apparel,88000,2000,88000,2000,USD,USA,California,Orange county ,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Retail,Bookstore Buyer,48000,1000,48000,1000,USD,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Non-binary
35-44,Education (Primary/Secondary),Teacher,68000,1000,68000,1000,USD,USA,Maryland,Hagerstown,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Computing or Tech,Quality assurance,100000,2000,100000,2000,USD,USA,Wisconsin,Verona,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Insurance,Underwriting Assistant,70000,0,70000,0,USD,USA,Colorado,Denver,8 - 10 years,5-7 years,College degree,Woman
35-44,Nonprofits,Housing director ,120000,0,120000,0,USD,USA,California,Los Angeles ,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Business or Consulting,Senior Consultant ,150000,70000,150000,70000,USD,USA,New York,New York,8 - 10 years,8 - 10 years,Master's degree,Man
45-54,Property or Construction,Executive Assistant,43680,3000,43680,3000,USD,USA,Illinois,Villa Park,2 - 4 years,2 - 4 years,College degree,Woman
45-54,"Accounting, Banking & Finance",Writer,68598,11000,68598,11000,USD,USA,Virginia,Vienna ,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Health care,Marketing Manager,1250000,350000,1250000,350000,USD,USA,District of Columbia,DC,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Computing or Tech,"Senior Manager, Community Engagement",110000,11000,110000,11000,USD,USA,California,San Francisco,2 - 4 years,2 - 4 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Press & Editorial Manager,60000,0,60000,0,USD,USA,New York,New York,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Computing or Tech,Technical Product Expert,102000,30000,102000,30000,USD,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman
35-44,Insurance,Director of Data Analytics,150000,15000,150000,15000,USD,USA,Illinois,Rolling Meadows,11 - 20 years,8 - 10 years,College degree,Man
35-44,Health care,Clinical nurse (inpatient),95472,10000,95472,10000,USD,USA,Pennsylvania,Philadelphia,11 - 20 years,2 - 4 years,College degree,Woman
25-34,Education (Primary/Secondary),Teacher,58560,1084,58560,1084,USD,USA,Maryland,Towson,8 - 10 years,5-7 years,Master's degree,Man
35-44,Education (Higher Education),Department Manager,72300,0,72300,0,USD,USA,Massachusetts,Medford,11 - 20 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Audit Senior,68900,6500,68900,6500,USD,USA,Washington,Spokane,5-7 years,5-7 years,College degree,Woman
55-64,Computing or Tech,"Director, Voice of the Customer",173000,28000,173000,28000,USD,USA,Massachusetts,Boston,31 - 40 years,31 - 40 years,Master's degree,Woman
25-34,Computing or Tech,Chief of Staff,120000,0,120000,0,USD,USA,California,San Francisco,8 - 10 years,1 year or less,College degree,Man
45-54,Cultural Resource Management,Archaeologist,56388,0,56388,0,USD,USA,North Carolina,Raleigh,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Computing or Tech,Software Engineer,152000,50000,152000,50000,USD,USA,New York,New York,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Law,Senior Paralegal,101000,22000,101000,22000,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Insurance,Director of Risk Management,122000,10000,122000,10000,USD,USA,New Mexico,Albuquerque,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Computing or Tech,Mainframe COBOL Software Developer III,96000,7250,96000,7250,USD,USA,Kansas,Topeka,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,"Marketing, Advertising & PR",Senior Creative Project Manager,81500,6520,81500,6520,USD,USA,South Carolina,"I work remotely. My company is based out of Pittsburgh, PA",11 - 20 years,11 - 20 years,College degree,Woman
35-44,Computing or Tech,Senior Staff Engineer,235000,280000,235000,280000,USD,USA,California,"Truckee, CA",11 - 20 years,11 - 20 years,Master's degree,Man
45-54,Nonprofits,Philanthropy Officer,66500,0,66500,0,USD,USA,Oregon,Portland,21 - 30 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Engagement Manager,105000,10000,105000,10000,USD,USA,Texas,Austin,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Digital Execution Supervisor,200000,0,200000,0,USD,USA,Texas,Houston,11 - 20 years,11 - 20 years,PhD,Woman
25-34,Computing or Tech,Senior Security Analyst,160000,30000,160000,30000,USD,USA,Washington,Seattle,5-7 years,5-7 years,College degree,Woman
25-34,Business or Consulting,Associate Consultant,73500,4000,73500,4000,USD,USA,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,College degree,Non-binary
35-44,Nonprofits,Senior Fellow,109000,0,109000,0,USD,USA,District of Columbia,Washington DC (and Philadelphia PA),11 - 20 years,11 - 20 years,College degree,Woman
35-44,Business or Consulting,Project Manager,120000,5000,120000,5000,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Man
25-34,Law,Paralegal,45000,0,45000,0,USD,USA,New York,Ronkonkoma,11 - 20 years,5-7 years,College degree,Woman
35-44,Health care,Registered Nurse,98000,6000,98000,6000,USD,USA,New York,Syracuse,21 - 30 years,5-7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Compliance,180000,50000,205200,57000,EUR,Belgium,Alaska,Brussels,11 - 20 years,5-7 years,Master's degree,Man
35-44,Health care,VP Product,260000,170000,260000,170000,USD,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,PhD,Woman
35-44,Engineering or Manufacturing,Scientist II,80000,10000,80000,10000,USD,Usa,Ohio,Cleveland,8 - 10 years,5-7 years,Master's degree,Woman
25-34,Transport or Logistics,UX/UI Designer,67000,100,67000,100,USD,USA,California,Brea,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Media & Digital,Content Manager,65000,0,65000,0,USD,USA,Illinois,Chicago,2 - 4 years,2 - 4 years,Master's degree,Non-binary
25-34,Art & Design,Finance Coordinator,70000,2000,70000,2000,USD,USA,California,Los Angeles,5-7 years,5-7 years,College degree,Woman
35-44,Nonprofits,Development Associate,57000,0,57000,0,USD,USA,California,San Rafael,11 - 20 years,2 - 4 years,College degree,Woman
25-34,Health care,Financial Analyst ,80000,0,80000,0,USD,USA,Oregon,Portland ,8 - 10 years,2 - 4 years,College degree,Woman
45-54,Health care,Physician Assistant ,196000,120000,196000,120000,USD,USA,California,Los Angeles,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Nonprofits,Executive Assistant,75000,0,75000,0,USD,USA,Illinois,Chicago,11 - 20 years,8 - 10 years,Some college,Woman
35-44,Nonprofits,Director of Operations,82000,0,82000,0,USD,USA,California,Santa Barbara,11 - 20 years,11 - 20 years,Some college,Woman
45-54,Government and Public Administration,Human Resources Director ,131600,1800,131600,1800,USD,USA,Oregon,Portland ,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Education (Higher Education),Director,110000,0,110000,0,USD,USA,Pennsylvania,Philadelphia,8 - 10 years,5-7 years,PhD,Woman
25-34,Law,Staff Attorney,53000,0,53000,0,USD,USA,New York,Olean,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Technology,Enterprise security engineer,178000,17800,178000,17800,USD,USA,California,San Francisco,21 - 30 years,5-7 years,College degree,Woman
25-34,Law,Staff attorney ,72000,0,72000,0,USD,USA,Washington,Seattle,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Computing or Tech,Art Director,210000,140000,210000,140000,USD,USA,California,Los Angeles,11 - 20 years,11 - 20 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Executive Assistant,70000,10000,70000,10000,USD,USA,Massachusetts,Boston,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Recruitment or HR,HR Generalist,68500,2500,68500,2500,USD,USA,Ohio,Sidney,5-7 years,2 - 4 years,Master's degree,Woman
45-54,Government and Public Administration,Nature Center Supervisor ,94000,0,94000,0,USD,USA,Maryland,Rockville ,21 - 30 years,11 - 20 years,Master's degree,Woman
55-64,Warehouse ,Process Assistant at Amazon,40000,0,40000,0,USD,USA,Ohio,Euclid,21 - 30 years,21 - 30 years,College degree,Woman
55-64,"Accounting, Banking & Finance",Relationship Manager ,75000,5000,75000,5000,USD,USA,Virginia,McLean,31 - 40 years,21 - 30 years,College degree,Woman
25-34,Education (Primary/Secondary),Special Education Teacher,53000,0,53000,0,USD,USA,New Hampshire,Claremont,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Health care,Operations Specialist ,75000,0,75000,0,USD,USA,Michigan,Grand Rapids ,11 - 20 years,1 year or less,College degree,Woman
25-34,Nonprofits,"Senior Associate, Consulting Services",75000,7500,75000,7500,USD,USA,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man
55-64,Education (Primary/Secondary),"Teaching Assistant, Special Education ",35200,0,35200,0,USD,USA,Illinois,Hoffman Estates (suburb of Chicago),31 - 40 years,11 - 20 years,College degree,Woman
45-54,Nonprofits,Membership specialist ,40000,0,40000,0,USD,USA,New Hampshire,Bedford ,5-7 years,2 - 4 years,Some college,Woman
35-44,Government and Public Administration,Assistant Director ,130000,0,130000,0,USD,USA,Texas,Houston ,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Pharmaceutical R&D,Statistician,90000,5000,90000,5000,USD,USA,Pennsylvania,Greater Philadelphia Area,5-7 years,2 - 4 years,Master's degree,Man
35-44,Art & Design,Executive Director ,100000,0,100000,0,USD,USA,New York,Port Chester,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Government and Public Administration,Deputy Budget Director,92000,0,92000,0,USD,USA,Massachusetts,Boston,11 - 20 years,5-7 years,Master's degree,Woman
55-64,Libraries and Archives,Processing Archivist,50700,0,50700,0,USD,USA,Pennsylvania,Philadelphia,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Government and Public Administration,Executive Officer,126000,5000,126000,5000,USD,USA,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Man
35-44,"Accounting, Banking & Finance",Senior Analyst,109200,10000,109200,10000,USD,USA,New York,New York,11 - 20 years,5-7 years,Master's degree,Woman
25-34,Recruitment or HR,Personnel Psychologist (Government),109000,1800,109000,1800,USD,USA,District of Columbia,Washington,8 - 10 years,8 - 10 years,Master's degree,Non-binary
35-44,"Marketing, Advertising & PR",Brand Manager,125000,15000,125000,15000,USD,USA,New Jersey,East Hanover,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
25-34,Health care,Community Outreach Director,90000,10000,90000,10000,USD,USA,Texas,Fort Worth,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,Law,Firm Administrator,52000,2500,52000,2500,USD,USA,Tennessee,Chattanooga,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Entertainment,Senior Production Manager,75000,500,75000,500,USD,USA,New Jersey,New York,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Computing or Tech,Software Engineering Instructor,70000,8000,70000,8000,USD,USA,Pennsylvania,Pittsburgh,5-7 years,1 year or less,PhD,Woman
55-64,Education (Higher Education),Lab Manager,100000,0,100000,0,USD,USA,Maryland,Baltimore,31 - 40 years,31 - 40 years,Master's degree,Woman
35-44,Pharmaceutical,Associate Consultant,83000,10000,83000,10000,USD,USA,New Hampshire,Remote Based,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Entertainment,Creative Director,68000,3000,68000,3000,USD,USA,Tennessee,Nashville,21 - 30 years,11 - 20 years,High School,Woman
25-34,Education (Higher Education),Coordinator,53000,1000,53000,1000,USD,USA,Illinois,Chicago,8 - 10 years,2 - 4 years,College degree,Woman
45-54,Business or Consulting,Director of Evay,125000,5000,125000,5000,USD,USA,Massachusetts,Boston ,21 - 30 years,5-7 years,PhD,Woman
25-34,Engineering or Manufacturing,Project Manager and Customer Service Manager,88000,8000,88000,8000,USD,USA,Pennsylvania,Lansdale,5-7 years,5-7 years,College degree,Woman
25-34,Education (Primary/Secondary),High School Teacher,50500,0,50500,0,USD,USA,Florida,Tampa,5-7 years,5-7 years,Master's degree,Woman
55-64,Education (Higher Education),Copyeditor,53000,200,53000,200,USD,USA,Illinois,Champaign-Urbana,31 - 40 years,21 - 30 years,College degree,Woman
25-34,Engineering or Manufacturing,Supply Chain Buyer/Planner,60000,6000,60000,6000,USD,USA,North Carolina,Charlotte,5-7 years,5-7 years,College degree,Woman
25-34,Transport or Logistics,Aircraft Dispatcher,125000,25000,125000,25000,USD,USA,Texas,Dallas,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Senior Associate,140000,6000,140000,6000,USD,USA,New York,New YorknCity,11 - 20 years,11 - 20 years,Master's degree,Man
35-44,"Accounting, Banking & Finance",Sr. Credit Analyst,70000,10000,70000,10000,USD,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Pharmaceuticals,Investigator ,115000,15000,115000,15000,USD,USA,Pennsylvania,Philadelphia ,5-7 years,5-7 years,PhD,Woman
25-34,Nonprofits,Assistant Director of Development ,55000,0,55000,0,USD,USA,Maryland,Baltimore ,5-7 years,2 - 4 years,College degree,Woman
25-34,Education (Higher Education),UX Researcher,68900,0,68900,0,USD,USA,Connecticut,New Haven,5-7 years,2 - 4 years,College degree,Woman
35-44,Health care,RN,77000,0,77000,0,USD,USA,Wisconsin,Milwaukee,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Government and Public Administration,Senior Analyst,124332,0,124332,0,USD,USA,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Computing or Tech,Client Services Associate,55000,5000,55000,5000,USD,USA,New York,New York ,11 - 20 years,1 year or less,College degree,Woman
45-54,"Marketing, Advertising & PR",Senior Copywriter,95000,0,95000,0,USD,USA,Michigan,Detroit,21 - 30 years,11 - 20 years,Master's degree,Woman
55-64,Health care,"Public Health Lab Tech, Lead",47627,0,47627,0,USD,USA,Maryland,Baltimore,41 years or more,21 - 30 years,College degree,Woman
35-44,Nonprofits,Instructional Designer,85000,0,85000,0,USD,USA,North Carolina,Charlotte ,11 - 20 years,5-7 years,College degree,Woman
35-44,Government and Public Administration,Operations Research Analyst,142290,3000,142290,3000,USD,USA,Maryland,Silver Spring,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Engineering or Manufacturing,Accounting Analyst,61360,3000,61360,3000,USD,USA,New York,Ronkonkoma,5-7 years,5-7 years,Some college,Woman
25-34,Education (Higher Education),Student Services Professional,40225,0,40225,0,USD,USA,Georgia,Athens,8 - 10 years,8 - 10 years,College degree,Woman
45-54,Computing or Tech,Sr. Director - Customer Success,179000,25000,179000,25000,USD,USA,Ohio,Cincinnati,21 - 30 years,8 - 10 years,College degree,Woman
25-34,"Marketing, Advertising & PR",Account Manager,65000,4000,65000,4000,USD,USA,Virginia,Alexandria,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Nonprofits,Vice President,150000,0,150000,0,USD,USA,North Carolina,Charlotte,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Law,Associate Attorney,270000,0,270000,0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Nonprofits,Program Coordinator,39000,500,39000,500,USD,USA,New York,Rochester,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Editor,50000,2000,50000,2000,USD,USA,Wisconsin,Madison,11 - 20 years,5-7 years,PhD,Man
35-44,Computing or Tech,Staff Software Engineer,193200,30000,193200,30000,USD,USA,New York,Brooklyn,11 - 20 years,11 - 20 years,College degree,Non-binary
55-64,E-Commerce,Customer Service Manager,47840,1500,47840,1500,USD,USA,New York,New York,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Business or Consulting,Global Project Manager,97250,10000,97250,10000,USD,USA,District of Columbia,Washington,2 - 4 years,2 - 4 years,Master's degree,Woman
25-34,Government and Public Administration,Team Lead,142950,2000,142950,2000,USD,USA,District of Columbia,Washington,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,Computing or Tech,Senior Software Engineer,145000,13000,145000,13000,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Government and Public Administration,Policy Analyst,141000,1500,141000,1500,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman
35-44,Engineering or Manufacturing,Supervisory Materials Engineer,119773,2000,119773,2000,USD,USA,Florida,Jacksonville,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Engineering or Manufacturing,Engineer,92000,1000,92000,1000,USD,USA,New Jersey,Ocean County,5-7 years,5-7 years,Master's degree,Woman
35-44,Business or Consulting,Director Marketing Operations,161000,22000,161000,22000,USD,USA,Washington,Seattle,11 - 20 years,5-7 years,Master's degree,Man
55-64,manufacturing,Human Resources manager,95000,15000,95000,15000,USD,USA,Texas,Abilene,21 - 30 years,21 - 30 years,Some college,Woman
45-54,Media & Digital,product manager,96000,9600,96000,9600,USD,USA,Pennsylvania,Philadelphia,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Engineering or Manufacturing,System Architect,125000,15000,125000,15000,USD,USA,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Engineering or Manufacturing,Customer Service Specialist,66000,1500,66000,1500,USD,USA,Illinois,Naperville (Chicago area),11 - 20 years,11 - 20 years,College degree,Woman
25-34,Hospitality & Events,Restaurant Manager,62400,10100,62400,10100,USD,USA,Connecticut,Hartford ,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Sourcing & Procurement,Sourcing & Procurement Consultant,105000,5000,105000,5000,USD,USA,Minnesota,Minneapolis ,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman
under 18,Law,Records manager,106000,3200,106000,3200,USD,USA,Colorado,Denver,41 years or more,1 year or less,Master's degree,Woman
55-64,Government and Public Administration,"Director, Program Planning & Development",95000,0,95000,0,USD,USA,Louisiana,Baton Rouge,21 - 30 years,21 - 30 years,Master's degree,Woman
25-34,Computing or Tech,Senior Technical Writer,93000,10000,93000,10000,USD,USA,North Carolina,Raleigh,5-7 years,5-7 years,College degree,Non-binary
25-34,Professional Association ,Marketing & Communications Manager,56500,1500,56500,1500,USD,USA,Virginia,Alexandria,5-7 years,5-7 years,College degree,Woman
35-44,Engineering or Manufacturing,Sr. Project Engineer,98000,0,98000,0,USD,USA,Michigan,Detroit area,21 - 30 years,21 - 30 years,College degree,Woman
18-24,biomedical research,Research Assistant I,31000,0,31000,0,USD,USA,Texas,Houston,2 - 4 years,1 year or less,College degree,Woman
35-44,"Accounting, Banking & Finance",Universal Associate,30000,2000,30000,2000,USD,USA,Ohio,Cardington,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Utilities & Telecommunications,Electric Trading Analyst,104269,5000,104269,5000,USD,USA,Texas,Amarillo,11 - 20 years,5-7 years,College degree,Woman
45-54,IT,"Director, project management ",123600,18540,123600,18540,USD,USA,Arizona,Tucson,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Nonprofits,Project Administrator,65100,0,65100,0,USD,USA,District of Columbia,DC,11 - 20 years,5-7 years,College degree,Woman
55-64,Education (Higher Education),Coordinator,63000,0,63000,0,USD,USA,Maryland,College Park,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Government and Public Administration,Physical Scientist,124000,2000,124000,2000,USD,USA,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,PhD,Woman
35-44,Scientific Research,Laboratory Manager,103000,0,103000,0,USD,USA,New York,New York,21 - 30 years,11 - 20 years,PhD,Woman
35-44,Engineering or Manufacturing,Project Manager ,96000,10000,96000,10000,USD,USA,Ohio,Cincinnati,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Computing or Tech,Chief of Staff,198000,100000,198000,100000,USD,USA,Washington,Seattle,11 - 20 years,2 - 4 years,College degree,Woman
